"","Country","Region","Code","Date","Sex","Age","AgeInt","Metric","Measure","Value"
"139","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","80",10,"Count","Deaths",190
"140","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","90",15,"Count","Deaths",102
"141","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","0",10,"Count","Cases",29
"142","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","10",10,"Count","Cases",24
"143","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","20",10,"Count","Cases",186
"144","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","30",10,"Count","Cases",413
"145","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","40",10,"Count","Cases",610
"146","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","50",10,"Count","Cases",794
"147","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","60",10,"Count","Cases",860
"148","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","70",10,"Count","Cases",889
"149","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","80",10,"Count","Cases",633
"150","Spain","Valencia","ES_VC15.04.2020","15.04.2020","m","90",15,"Count","Cases",165
"151","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","0",10,"Count","Cases",19
"152","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","10",10,"Count","Cases",37
"153","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","20",10,"Count","Cases",280
"154","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","30",10,"Count","Cases",531
"155","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","40",10,"Count","Cases",738
"156","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","50",10,"Count","Cases",845
"157","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","60",10,"Count","Cases",717
"158","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","70",10,"Count","Cases",688
"159","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","80",10,"Count","Cases",748
"160","Spain","Valencia","ES_VC15.04.2020","15.04.2020","f","90",15,"Count","Cases",356
"161","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","0",10,"Count","Deaths",0
"162","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","10",10,"Count","Deaths",0
"163","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","20",10,"Count","Deaths",1
"164","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","30",10,"Count","Deaths",5
"165","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","40",10,"Count","Deaths",6
"166","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","50",10,"Count","Deaths",21
"167","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","60",10,"Count","Deaths",69
"168","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","70",10,"Count","Deaths",195
"169","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","80",10,"Count","Deaths",219
"170","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","90",15,"Count","Deaths",67
"171","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","0",10,"Count","Deaths",0
"172","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","10",10,"Count","Deaths",0
"173","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","20",10,"Count","Deaths",0
"174","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","30",10,"Count","Deaths",1
"175","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","40",10,"Count","Deaths",1
"176","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","50",10,"Count","Deaths",8
"177","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","60",10,"Count","Deaths",26
"178","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","70",10,"Count","Deaths",82
"179","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","80",10,"Count","Deaths",193
"180","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","90",15,"Count","Deaths",105
"181","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","0",10,"Count","Cases",29
"182","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","10",10,"Count","Cases",26
"183","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","20",10,"Count","Cases",189
"184","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","30",10,"Count","Cases",424
"185","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","40",10,"Count","Cases",621
"186","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","50",10,"Count","Cases",808
"187","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","60",10,"Count","Cases",876
"188","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","70",10,"Count","Cases",912
"189","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","80",10,"Count","Cases",645
"190","Spain","Valencia","ES_VC16.04.2020","16.04.2020","m","90",15,"Count","Cases",173
"191","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","0",10,"Count","Cases",20
"192","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","10",10,"Count","Cases",38
"193","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","20",10,"Count","Cases",292
"194","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","30",10,"Count","Cases",549
"195","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","40",10,"Count","Cases",756
"196","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","50",10,"Count","Cases",876
"197","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","60",10,"Count","Cases",740
"198","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","70",10,"Count","Cases",699
"199","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","80",10,"Count","Cases",785
"200","Spain","Valencia","ES_VC16.04.2020","16.04.2020","f","90",15,"Count","Cases",371
"201","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","0",10,"Count","Deaths",0
"202","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","10",10,"Count","Deaths",0
"203","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","20",10,"Count","Deaths",1
"204","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","30",10,"Count","Deaths",6
"205","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","40",10,"Count","Deaths",6
"206","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","50",10,"Count","Deaths",21
"207","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","60",10,"Count","Deaths",72
"208","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","70",10,"Count","Deaths",204
"209","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","80",10,"Count","Deaths",226
"210","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","90",15,"Count","Deaths",68
"211","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","0",10,"Count","Deaths",0
"212","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","10",10,"Count","Deaths",0
"213","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","20",10,"Count","Deaths",0
"214","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","30",10,"Count","Deaths",1
"215","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","40",10,"Count","Deaths",1
"216","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","50",10,"Count","Deaths",8
"217","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","60",10,"Count","Deaths",30
"218","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","70",10,"Count","Deaths",92
"219","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","80",10,"Count","Deaths",199
"220","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","90",15,"Count","Deaths",107
"221","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","0",10,"Count","Cases",29
"222","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","10",10,"Count","Cases",27
"223","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","20",10,"Count","Cases",192
"224","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","30",10,"Count","Cases",436
"225","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","40",10,"Count","Cases",631
"226","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","50",10,"Count","Cases",825
"227","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","60",10,"Count","Cases",898
"228","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","70",10,"Count","Cases",923
"229","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","80",10,"Count","Cases",663
"230","Spain","Valencia","ES_VC17.04.2020","17.04.2020","m","90",15,"Count","Cases",178
"231","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","0",10,"Count","Cases",21
"232","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","10",10,"Count","Cases",39
"233","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","20",10,"Count","Cases",311
"234","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","30",10,"Count","Cases",575
"235","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","40",10,"Count","Cases",788
"236","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","50",10,"Count","Cases",902
"237","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","60",10,"Count","Cases",756
"238","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","70",10,"Count","Cases",714
"239","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","80",10,"Count","Cases",808
"240","Spain","Valencia","ES_VC17.04.2020","17.04.2020","f","90",15,"Count","Cases",386
"241","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","0",10,"Count","Deaths",0
"242","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","10",10,"Count","Deaths",0
"243","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","20",10,"Count","Deaths",1
"244","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","30",10,"Count","Deaths",6
"245","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","40",10,"Count","Deaths",6
"246","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","50",10,"Count","Deaths",22
"247","Spain","Valencia","ES_VC18.04.2020","18.04.2020","m","60",10,"Count","Deaths",75
